id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47440071,Home in Albany · ★4.96 · 1 bedroom · 1 bed · 1 private bath,382970529,Thomas,,THIRTEENTH WARD,42.6692,-73.79849,Private room,199,1,107,2023-09-24,3.25,5,173,49,
47828453,Rental unit in Albany · ★4.40 · 2 bedrooms · 3 beds · 1 bath,299638115,Dominick,,THIRD WARD,42.656,-73.76123,Entire home/apt,171,4,15,2022-09-07,0.47,3,334,0,
47902629,Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 2 baths,21886921,David,,THIRTEENTH WARD,42.66744,-73.79216,Entire home/apt,125,14,6,2021-12-21,0.20,2,273,0,
47943571,Rental unit in Albany · ★4.86 · 1 bedroom · 2 beds · 1 bath,385664127,Dillon,,THIRD WARD,42.65118,-73.75287,Entire home/apt,86,1,114,2023-09-21,3.56,2,309,56,
48052353,Home in Albany · ★4.74 · 3 bedrooms · 4 beds · 1 bath,349460842,Scott,,TENTH WARD,42.66261,-73.78332,Entire home/apt,159,1,129,2023-09-16,4.03,5,360,38,
48124042,Rental unit in Albany · ★4.88 · 2 bedrooms · 3 beds · 1 bath,385664127,Dillon,,THIRD WARD,42.64982,-73.75103,Entire home/apt,104,1,145,2023-09-24,5.54,2,219,55,
48172884,Home in Albany · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,98744672,Bela,,NINTH WARD,42.65399,-73.78126,Private room,45,2,36,2023-08-26,1.15,8,329,16,
48470454,Home in Albany · ★4.91 · 5 bedrooms · 5 beds · 5.5 baths,4259750,Peter,,THIRTEENTH WARD,42.66526412963867,-73.78692626953125,Entire home/apt,308,2,23,2023-09-17,1.58,9,355,18,
48599533,Rental unit in Albany · ★4.78 · 1 bedroom · 1 bed · 1 bath,392074908,Jerry,,SIXTH WARD,42.65429,-73.75986,Entire home/apt,91,2,89,2023-09-14,3.41,7,274,27,
49635449,Boutique hotel in Albany · ★4.56 · Studio · 1 bed · 1 private bath,19648678,Terra,,SIXTH WARD,42.65848,-73.77436,Private room,185,1,18,2023-08-05,0.65,10,201,4,
49875164,Boutique hotel in Albany · ★4.20 · 1 bedroom · 1 bed · 1 private bath,19648678,Terra,,SIXTH WARD,42.65933,-73.77275,Private room,185,1,5,2022-10-30,0.18,10,201,1,
49886937,Rental unit in Albany · Studio · 1 bed · 0 shared baths,219746338,Nicola,,FOURTH WARD,42.65854,-73.74926,Shared room,45,1,0,,,1,358,0,
50088935,Condo in Albany · ★5.0 · 2 bedrooms · 3 beds · 1 bath,172658781,Jessica,,THIRTEENTH WARD,42.66972,-73.79544,Entire home/apt,100,60,4,2022-11-30,0.16,3,299,1,
50171851,Rental unit in Albany · ★4.99 · 1 bedroom · 1 bed · 1 bath,48490017,Todd,,SIXTH WARD,42.65157,-73.76546,Entire home/apt,109,2,123,2023-09-26,4.74,1,216,54,
50207226,Rental unit in Albany · ★4.88 · 1 bedroom · 2 beds · 1 bath,47625981,Linda,,FOURTH WARD,42.65888,-73.74673,Entire home/apt,117,1,66,2023-08-23,2.34,13,81,18,
50211226,Rental unit in Albany · ★4.97 · 1 bedroom · 2 beds · 1 bath,105597161,Jake & Kate,,ELEVENTH WARD,42.66034,-73.77163,Entire home/apt,101,2,125,2023-09-27,5.86,1,324,71,
50354540,Rental unit in Albany · ★4.56 · 2 bedrooms · 2 beds · 1 bath,188679144,Elizabeth,,SIXTH WARD,42.65333,-73.76402,Entire home/apt,100,3,9,2023-08-13,0.32,8,291,5,
50639032,Home in Albany · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,172539578,David Yisrael,,FIFTEENTH WARD,42.67945,-73.81647,Private room,60,3,36,2023-08-28,1.47,3,176,12,
50890336,Rental unit in Albany · ★4.61 · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,FOURTH WARD,42.65901,-73.74748,Entire home/apt,120,1,38,2023-08-27,1.44,13,91,12,
51230498,Aparthotel in Albany · ★4.82 · 1 bedroom · 1 bed · 1 bath,414738935,Sonya,,THIRD WARD,42.66064,-73.76074,Entire home/apt,83,1,186,2023-08-26,6.98,1,36,69,
51461480,Rental unit in Albany · ★4.95 · 1 bedroom · 1 bed · 1 bath,416799784,Rosie,,TENTH WARD,42.65969,-73.77564,Entire home/apt,124,7,21,2023-03-31,0.89,1,149,1,
51503537,Rental unit in Albany · ★4.29 · 1 bedroom · 1 bed · 1 bath,394420519,All Seasons,,THIRD WARD,42.65061,-73.75006,Entire home/apt,105,4,7,2023-02-23,0.28,1,180,2,
